AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A707504,7,Austin,Stray,Normal,Cat,Intact Male,19,Domestic Cat Breed,Pattern,7,6,Intact Male,19,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A675464,3,Austin,Wildlife,Sick,Other,Intact Male,365,Mice predating small mammals,Bi color,4,3,Intact Male,380,1.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A707245,7,Travis,Stray,Normal,Dog,Intact Female,67,Retriever Dog Breed,Brown series,7,5,Intact Female,72,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A790745,3,Austin,Stray,Normal,Dog,Intact Female,2922,Working Dog Breed,Bi color,3,3,Intact Female,2923,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A792855,4,Austin,Owner Surrender,Injured,Dog,Intact Male,365,Terrier Dog Breed,Brown series,7,4,Neutered Male,443,0.0,0.15552099533437014,Unhealthy,Sterilized,Not Wild Mammals,more than 3 days
A648134,11,Austin,Owner Surrender,Normal,Dog,Spayed Female,571,Retriever Dog Breed,Bi color,11,4,Spayed Female,578,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A716196,11,Austin,Stray,Normal,Cat,Intact Female,38,Domestic Cat Breed,Pattern,12,10,Spayed Female,73,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A726701,5,Travis,Stray,Aged,Dog,Intact Male,5479,Toy Breed,Bi color,6,5,Intact Male,5498,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A751799,6,Austin,Stray,Nursing,Cat,Intact Female,1,Domestic Cat Breed,Bi color,6,6,Intact Female,1,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A675938,4,Pflugerville,Stray,Normal,Cat,Intact Female,3,Domestic Cat Breed,Pattern,4,3,Intact Female,3,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A799936,7,Austin,Stray,Sick,Cat,Intact Male,30,Domestic Cat Breed,Bi color,8,6,Intact Male,60,0.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A741682,1,Austin,Stray,Normal,Dog,Intact Female,366,Herding Dog Breed,Bi color,1,1,Spayed Female,383,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A697461,2,Lakeway,Owner Surrender,Normal,Cat,Intact Female,1096,Domestic Cat Breed,Pattern,4,2,Spayed Female,1135,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A749394,5,Travis,Stray,Normal,Dog,Intact Male,61,Working Dog Breed,Bi color,5,3,Intact Male,70,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A769708,4,Austin,Stray,Normal,Dog,Intact Female,50,Terrier Dog Breed,Pattern,4,2,Spayed Female,60,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A746949,4,Austin,Stray,Normal,Dog,Intact Male,365,Toy Breed,Bi color,4,4,Neutered Male,370,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A809361,11,Austin,Stray,Normal,Dog,Intact Female,4,Hound Dong Breed,Brown series,11,11,Intact Female,6,0.0,1.1363636363636365,Healthy,Intact,Not Wild Mammals,2-3 days
A749410,6,Austin,Stray,Normal,Dog,Intact Male,281,Terrier Dog Breed,Bi color,7,9,Neutered Male,314,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A564168,6,Austin,Stray,Normal,Cat,Spayed Female,3624,Domestic Cat Breed,Pattern,7,7,Spayed Female,3655,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A667349,11,Austin,Stray,Normal,Other,Unknown,31,Rabbit,Brown series,11,10,Unknown,32,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A763710,12,Austin,Stray,Normal,Cat,Intact Female,183,Domestic Cat Breed,Blue series,12,6,Intact Female,187,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A705088,6,Austin,Stray,Normal,Dog,Intact Male,1095,Hound Dong Breed,Brown series,6,6,Neutered Male,1099,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A796461,6,Austin,Stray,Normal,Cat,Intact Female,31,Domestic Cat Breed,Pattern,12,5,Spayed Female,232,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A766452,2,Austin,Owner Surrender,Normal,Cat,Neutered Male,1096,Domestic Cat Breed,Pattern,2,2,Neutered Male,1099,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A701696,9,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,1974,Terrier Dog Breed,Bi color,10,5,Spayed Female,1982,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A708062,7,Austin,Owner Surrender,Normal,Cat,Intact Female,730,Domestic Cat Breed,Pattern,8,7,Intact Female,746,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A681232,6,Austin,Stray,Normal,Dog,Intact Female,730,Herding Dog Breed,Bi color,6,6,Spayed Female,736,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A737805,11,Austin,Stray,Normal,Dog,Intact Male,731,Toy Breed,White,11,11,Neutered Male,735,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A751981,6,Austin,Stray,Normal,Cat,Intact Male,61,Domestic Cat Breed,Pattern,6,4,Neutered Male,65,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A705892,6,Manor,Owner Surrender,Normal,Cat,Intact Male,69,Domestic Cat Breed,Pattern,6,4,Neutered Male,76,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A679294,5,Austin,Public Assist,Normal,Dog,Intact Male,733,Herding Dog Breed,Blue series,5,5,Intact Male,739,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A769195,4,Austin,Stray,Normal,Dog,Intact Male,730,Terrier Dog Breed,White,6,4,Neutered Male,794,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A713915,10,Austin,Stray,Normal,Other,Unknown,365,Reptilia,Brown series,10,10,Unknown,367,0.0,1.1363636363636365,Healthy,Unknown,Not Wild Mammals,2-3 days
A706011,6,Austin,Stray,Normal,Dog,Intact Female,1826,Retriever Dog Breed,Black,7,6,Spayed Female,1839,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A686878,8,Austin,Stray,Normal,Cat,Intact Male,4,Domestic Cat Breed,Black,8,8,Intact Male,4,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
A728145,5,Austin,Stray,Normal,Cat,Intact Male,51,Domestic Cat Breed,Black,8,4,Neutered Male,138,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A682749,7,Travis,Public Assist,Other,Cat,Intact Male,35,Domestic Cat Breed,Pattern,8,5,Neutered Male,70,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A755739,10,Austin,Owner Surrender,Normal,Cat,Spayed Female,249,Domestic Cat Breed,Pattern,10,2,Spayed Female,262,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
